,AAPL,BABA,BLDR,COST,CP,DDOG,GRBK,MCO,META,MMC,MRUS,MSFT,NEE,NE,NFLX,NUVL,NVDA,PINS,PWR,RTX,SBLK,SE,SNAP,TDW,TJX,V,total
2025-06-01 00:00:00,66.66666666666666,33.33333333333333,25.0,57.14285714285714,,,23.52941176470588,50.0,100.0,28.57142857142857,83.33333333333334,83.33333333333334,70.0,57.14285714285714,100.0,80.0,50.0,100.0,75.0,100.0,50.0,,,42.857142857142854,33.33333333333333,100.0,64.05653170359052
2025-05-01 00:00:00,55.172413793103445,68.0,48.0,60.0,61.904761904761905,,59.57446808510638,52.4390243902439,68.0,58.82352941176471,60.526315789473685,55.932203389830505,52.27272727272727,64.86486486486487,69.23076923076923,56.52173913043478,48.9051094890511,81.81818181818183,61.53846153846154,52.17391304347826,55.55555555555556,0.0,43.75,58.333333333333336,44.44444444444444,81.81818181818183,56.783999932150735
2025-04-01 00:00:00,52.13675213675214,56.00000000000001,49.0,45.23809523809524,50.0,,52.63157894736842,48.35164835164835,50.0,56.86274509803921,68.42105263157895,53.84615384615385,44.89795918367347,50.0,50.0,60.37735849056604,50.847457627118644,42.857142857142854,50.0,49.54128440366973,60.37735849056604,69.56521739130434,48.78048780487805,62.0,50.602409638554214,50.0,52.89338808548438
2025-03-01 00:00:00,44.0,58.620689655172406,28.57142857142857,,50.0,64.28571428571429,48.97959183673469,18.181818181818183,58.82352941176471,,63.63636363636363,53.84615384615385,38.46153846153847,,66.66666666666666,57.89473684210527,58.82352941176471,,67.85714285714286,53.333333333333336,,50.0,33.33333333333333,62.5,,40.0,50.89077851655175
2025-02-01 00:00:00,66.66666666666666,65.625,42.857142857142854,,46.15384615384615,25.0,56.25,63.63636363636363,72.72727272727273,,48.57142857142857,28.57142857142857,20.0,,62.5,54.54545454545454,60.0,,47.61904761904761,69.23076923076923,,54.54545454545454,40.0,30.0,,84.21052631578947,51.93552007203323
2025-01-01 00:00:00,42.857142857142854,66.66666666666666,75.0,,78.94736842105263,33.33333333333333,60.0,78.57142857142857,53.333333333333336,,59.375,54.166666666666664,53.84615384615385,,78.57142857142857,50.0,67.85714285714286,,75.75757575757575,76.47058823529412,,63.63636363636363,47.61904761904761,66.66666666666666,100.0,82.35294117647058,65.00137372456035
2024-12-01 00:00:00,60.78431372549019,48.148148148148145,48.421052631578945,65.21739130434783,48.717948717948715,29.411764705882355,49.08424908424908,48.484848484848484,55.10204081632652,52.63157894736842,50.0,61.29032258064516,44.303797468354425,37.5,51.85185185185185,51.21951219512195,47.22222222222222,51.470588235294116,51.61290322580645,48.372093023255815,46.913580246913575,52.94117647058824,47.27272727272727,50.0,48.53801169590643,14.285714285714285,48.49222451309962
2024-11-01 00:00:00,53.333333333333336,43.13725490196079,56.57894736842105,53.333333333333336,44.15584415584416,50.0,51.96850393700787,49.31506849315068,42.30769230769231,55.172413793103445,48.275862068965516,45.714285714285715,45.78313253012048,,51.85185185185185,56.25,63.934426229508205,46.57534246575342,54.54545454545454,48.484848484848484,49.152542372881356,65.21739130434783,49.78540772532189,46.666666666666664,41.46341463414634,75.0,51.520120728719974
2024-10-01 00:00:00,56.36363636363636,57.89473684210527,52.67175572519084,52.68817204301075,45.714285714285715,67.64705882352942,47.462686567164184,57.14285714285714,60.0,43.859649122807014,50.98039215686274,58.490566037735846,48.35164835164835,21.052631578947366,47.16981132075472,50.29585798816568,50.42016806722689,55.172413793103445,59.523809523809526,53.57142857142857,48.46938775510204,64.0,51.162790697674424,48.258706467661696,38.095238095238095,85.71428571428571,52.775922094778146
2024-09-01 00:00:00,50.0,49.275362318840585,51.92307692307693,53.65853658536586,51.908396946564885,58.620689655172406,51.465798045602604,56.75675675675676,63.07692307692307,45.20547945205479,53.2608695652174,48.97959183673469,56.52173913043478,43.47826086956522,51.515151515151516,49.03225806451613,54.01459854014598,51.28205128205128,63.23529411764706,50.54347826086957,49.044585987261144,64.51612903225806,43.07692307692308,51.38121546961326,50.0,54.54545454545454,52.550716194392365
2024-08-01 00:00:00,55.0561797752809,54.54545454545454,56.896551724137936,54.45544554455446,52.459016393442624,60.86956521739131,50.4,75.0,56.896551724137936,54.21686746987952,53.03030303030303,58.536585365853654,52.83018867924528,52.94117647058824,56.38297872340425,47.89473684210526,52.23880597014925,45.56962025316456,56.14035087719298,50.56603773584906,46.08294930875576,52.27272727272727,46.57534246575342,51.66051660516605,47.94520547945205,50.0,53.517813748999586
2024-07-01 00:00:00,52.054794520547944,52.67857142857143,52.67175572519084,55.00000000000001,53.42465753424658,55.172413793103445,49.75609756097561,72.5,51.21951219512195,50.0,56.33802816901409,58.18181818181818,52.87356321839081,50.0,50.602409638554214,54.166666666666664,51.12359550561798,45.55555555555556,58.18181818181818,53.25077399380805,45.78313253012048,51.61290322580645,50.0,50.625,51.2,56.25,53.08550260095879
2024-06-01 00:00:00,70.0,44.73684210526316,44.565217391304344,58.333333333333336,49.48453608247423,63.63636363636363,50.76923076923077,50.0,68.0,54.90196078431373,52.38095238095239,71.42857142857143,46.03174603174603,60.0,100.0,52.293577981651374,53.086419753086425,54.54545454545454,59.09090909090909,49.29078014184397,29.411764705882355,50.0,57.14285714285714,47.706422018348626,73.91304347826086,50.0,56.1826916462249
2024-05-01 00:00:00,47.368421052631575,58.82352941176471,54.65116279069767,67.5,50.467289719626166,45.45454545454545,52.10084033613446,59.09090909090909,50.0,60.0,52.702702702702695,68.75,55.23809523809524,,51.470588235294116,50.0,58.620689655172406,61.29032258064516,63.63636363636363,51.43769968051119,71.42857142857143,72.72727272727273,41.17647058823529,54.330708661417326,61.111111111111114,44.44444444444444,56.15286954184583
2024-04-01 00:00:00,48.93617021276596,53.84615384615385,43.75,52.94117647058824,48.38709677419355,40.0,50.45871559633027,22.727272727272727,46.875,35.483870967741936,51.61290322580645,35.0,56.896551724137936,60.0,51.515151515151516,47.008547008547005,40.74074074074074,49.056603773584904,55.00000000000001,50.621118012422365,51.68539325842697,61.53846153846154,47.24770642201835,60.0,44.18604651162791,25.0,47.32748770484508
2024-03-01 00:00:00,48.275862068965516,53.2258064516129,50.66079295154186,58.333333333333336,49.0,25.0,59.09090909090909,100.0,60.86956521739131,60.0,68.75,72.72727272727273,55.932203389830505,50.0,50.0,50.35971223021583,50.649350649350644,50.0,83.33333333333334,49.6437054631829,49.39467312348668,56.25,50.0,64.86486486486487,54.54545454545454,,56.83627357762984
2024-02-01 00:00:00,37.5,56.00000000000001,50.877192982456144,54.385964912280706,59.375,33.33333333333333,54.54545454545454,68.42105263157895,67.56756756756756,59.036144578313255,54.44444444444444,58.333333333333336,42.25352112676056,0.0,50.24154589371981,54.41176470588235,54.71698113207547,47.107438016528924,60.0,51.45631067961165,51.3126491646778,75.0,50.26737967914438,56.36363636363636,54.43037974683544,,52.05524379350539
