,Alert,Current Week,Underwater,Week
FADAUSDT,-4.600992332446358,-5.0906210649752754,19.041666666666668,2025-03-23
FAVAXUSDT,-3.6378900916344663,0.7641649681299023,31.458333333333332,2025-03-23
FBNBUSDT,-2.1641257884306624,-0.2074899318364478,92.04166666666667,2025-03-23
FBTCUSDT,-2.0733588028853673,-0.9529267201645785,17.583333333333332,2025-03-23
FETHUSDT,-2.790608057322207,1.9325491639916184,28.208333333333332,2025-03-23
FSOLUSDT,-4.6600605044127015,-1.3503122952821431,0.041666666666666664,2024-12-22
FTRXUSDT,-3.5401309448884506,-3.933182214413391,30.958333333333332,2025-03-23
FXRPUSDT,-4.321910862998113,-3.6058176740588825,8.125,2025-03-23
FDOGEUSDT,-4.995334943977123,2.4997658021787648,17.125,2025-03-23
total,-3.6427124809994944,-1.1048744407144926,19.416666666666668,2025-03-22
