,@ES.#,SW#.C,EX#.,@NQ.#,@YM.#,LF#.,XG#.,total
2017-01-03 04:00:00,99.98364873618662,100.3189357940066,99.17619165932648,99.54534611510616,99.97832589595414,99.65315197439064,99.5068795525934,98.16247972756402
2017-01-03 06:00:00,100.10607500218549,100.0156375049282,98.78526124494023,99.54534611510616,100.09849308508687,99.37153395083712,99.33429466240054,97.25664156548461
2017-01-03 08:00:00,99.99477839673197,99.96774830138949,98.94163341069473,99.52687682757758,99.8895066692039,99.37153395083712,99.57591350867055,97.26799106510535
2017-01-03 10:00:00,99.69427756200744,99.9198590978508,99.25437774220372,99.28616318241782,99.4401858750555,99.45687274585335,99.75281302111823,96.80454922650685
2017-01-03 12:00:00,99.69427756200744,99.84004375861967,99.17619165932648,99.10680791739682,99.4401858750555,99.48247438435821,99.71398142082487,96.45396257758897
2017-01-03 14:00:00,99.16356400882884,99.37711479107895,98.82435428637886,99.10680791739682,98.9711618725864,99.3203306738274,99.54571115288681,94.3090447029841
2017-01-03 16:00:00,99.16356400882884,99.69637614800358,98.82435428637886,99.13551779003706,99.01851284854263,99.15818696329659,99.51982341935788,94.51633546444545
2017-01-04 04:00:00,99.05175721097555,99.47289319815634,99.17619165932648,98.9049211832425,98.8869823597753,99.48558938005456,100.02894884542681,95.00728383695757
2017-01-04 06:00:00,98.95113109290756,99.26537331615533,99.09800557644922,98.95201546599657,98.95422698940654,99.50258317731857,99.83910546621466,94.56244108444845
2017-01-04 08:00:00,99.09019361838538,99.74426535154227,99.3716568665196,99.13568316873744,99.02224708149527,99.52807387321455,99.95560026709485,95.84772022698935
2017-01-04 10:00:00,99.23447774713121,99.16959490907794,99.01981949357199,99.30993201492753,99.04840865537554,99.83396222396654,99.62768897572842,95.24388401977916
2017-01-04 12:00:00,99.21228018886262,99.18555797692419,99.13709861788783,99.28167544527508,99.04317634059949,99.64703045406256,99.70966679857003,95.21648582218181
2017-01-04 14:00:00,99.27887286366838,98.93014889138449,98.94163341069473,99.31935087147833,99.13212569179247,99.96141570344653,99.57591350867055,95.1394609411355
2017-01-04 16:00:00,99.26777408453412,98.99400116276942,98.94163341069473,99.31464144320293,99.09549948836006,99.9387793095604,99.55002577514162,95.10235467426328
2017-01-05 04:00:00,99.23447774713121,98.91418582353825,98.9025403692561,99.23458116252098,98.98493561850344,100.38182599323956,99.70103755406035,95.35358426824993
2017-01-05 06:00:00,99.04579850184821,99.12170570553927,99.13709861788783,99.23458116252098,99.12598671034338,100.31393156906914,99.8045884881761,95.78369075538494
2017-01-05 08:00:00,99.21228018886262,98.86629661999957,98.9025403692561,99.23458116252098,98.9588150459405,100.60248287179341,99.5672842641609,95.3442805225341
2017-01-05 10:00:00,98.89041559396807,98.78648128076838,99.09800557644922,99.15537290397148,99.51779529878765,100.43274681136737,99.69672293180555,95.57754039711776
2017-01-05 12:00:00,99.03469972271388,98.70666594153727,98.98072645213335,99.23023020723711,99.36629597792253,100.45820722043125,99.62768897572842,95.40451449770383
2017-01-05 14:00:00,99.22337896799691,98.6268506023061,99.05891253501062,99.38930197667663,99.1834519699819,100.45820722043125,99.7269252875893,95.66702855999273
2017-01-05 16:00:00,99.22337896799691,98.73859207722971,99.01981949357199,99.44076637267177,99.17822785546929,100.57702246272952,99.68809368729588,95.86590091696506
2017-01-06 04:00:00,99.22337896799691,98.86629661999957,99.44984294939684,99.42673062830947,99.24091722962036,100.42426000834607,99.76144226562786,96.39286866929709
2017-01-06 06:00:00,99.22337896799691,98.86597105708152,99.44984294939684,99.40801630249305,99.31405483279663,100.24603714489874,99.77438613239232,96.28168738705601
2017-01-06 08:00:00,99.27352835033246,99.08694948642999,99.13709861788783,99.70276693410155,99.27226191669591,100.61096967481471,99.69672293180555,96.78029791206801
2017-01-06 10:00:00,99.67219944667795,99.63939555980114,98.74616820350161,100.15191075369545,98.84388452666352,100.62794328085732,99.46804795230001,97.14954972349702
2017-01-06 12:00:00,99.77186722076435,99.82880564209982,98.62888907918574,100.32501826749726,98.72895400738653,100.93346818962418,99.3688116404391,97.58581404699699
2017-01-06 14:00:00,99.63897685531583,99.79723729505004,98.74616820350161,100.19869656823646,98.82821218312574,100.93346818962418,99.44647484102587,97.58923413587975
2017-01-06 16:00:00,99.59468006683299,99.26057539520377,98.78526124494023,100.22208947550699,98.84910864117612,100.93346818962418,99.42058710749697,97.06577012078125
2017-01-09 04:00:00,99.56145747547089,99.27635956872868,99.52802903227409,100.2548395456857,98.84388452666352,101.00367372245815,99.95433950058147,98.42258337186249
2017-01-09 06:00:00,99.57253167259157,99.40263295692779,99.56712207371272,100.26419670859391,98.901349786302,101.07964873512067,99.95865170411747,98.74613363736613
2017-01-09 08:00:00,99.38427032153953,99.48155382455224,99.44984294939684,100.4185898965793,99.11553848131823,101.29069043696094,99.90690526168538,99.04739117203245
2017-01-09 10:00:00,99.4728638985052,99.48155382455224,99.33256382508097,100.48409003693676,99.05284910716712,101.31601544118178,100.04489577483763,99.18483190826169
2017-01-09 12:00:00,99.43964130714306,99.79723729505004,99.33256382508097,100.55894734020242,99.08419379424267,101.36666544962344,100.04489577483763,99.62414478618022
2017-01-09 14:00:00,99.32889933593599,99.79723729505004,99.33256382508097,100.55894734020242,99.17822785546929,101.34134044540258,100.04489577483763,99.58211187197892
2017-01-09 16:00:00,99.30675094169455,99.11851783347977,99.33256382508097,100.55894734020242,99.16777962644407,101.15562374778315,100.04489577483763,98.68507908952259
2017-01-10 04:00:00,99.09115147191132,99.6867480803758,99.17619165932648,100.73022293522587,99.11031436680561,101.67900716834706,100.04489577483763,99.51853145682976
2017-01-10 06:00:00,99.1575819413533,99.65517973332602,99.25437774220372,100.68399085015884,99.21479665705742,101.83095719367206,100.04489577483763,99.84177989260898
2017-01-10 08:00:00,99.26829939042328,99.35528043635313,99.52802903227409,100.61001951405156,99.36629597792253,101.83939886174566,100.04489577483763,100.01221898760788
2017-01-10 10:00:00,99.26829939042328,99.98664737734873,99.29347078364235,101.03997790517502,98.97971150399087,101.97446555092345,100.04489577483763,100.58746828634133
2017-01-10 12:00:00,99.26829939042328,100.09713659202296,99.44984294939684,101.03997790517502,99.30360660377144,101.84784052981928,100.04489577483763,101.05159974544644
2017-01-10 14:00:00,99.26829939042328,100.0497840714483,99.52802903227409,101.03997790517502,99.36629597792253,101.79719052137764,100.04489577483763,101.09447267345847
2017-01-10 16:00:00,99.26829939042328,99.76566894800025,99.48893599083547,101.03997790517502,99.30883071828404,101.8562821978929,100.04489577483763,100.77289092544859
2017-01-11 04:00:00,99.1634100130689,100.20762580669718,99.17619165932648,101.2016283204621,99.27748603120848,102.10953224010123,100.04489577483763,101.180769845702
2017-01-11 06:00:00,99.3184487727588,100.06556824497316,99.3716568665196,101.08169105687695,99.39241655048548,101.99979055514429,100.09935973405037,101.32893178080865
2017-01-11 08:00:00,99.60131581215005,100.33389919489632,98.78526124494023,101.19240237710942,99.02672853460417,102.6075906564443,99.59790250792315,101.14510032806763
2017-01-11 10:00:00,99.54591415010019,99.93929485677407,99.01981949357199,101.14627266034589,99.02672853460417,102.6075906564443,99.60647442631848,100.89209477815909
2017-01-11 12:00:00,99.39078949636057,99.27635956872868,99.48893599083547,100.96636676496807,98.87973133733021,102.6075906564443,99.92363540694595,100.53340922161324
2017-01-11 14:00:00,99.72319946865974,99.6867480803758,99.05891253501062,101.3538563857818,99.13561937325896,102.6075906564443,99.69647956946952,101.26240606900076
2017-01-11 16:00:00,99.75644046588967,99.6867480803758,99.01981949357199,101.3538563857818,99.16173039733332,102.6075906564443,99.66219189588817,101.24837737528505
2017-01-12 04:00:00,99.43511082600048,99.6867480803758,99.56712207371272,101.54253840991791,98.89462248931729,102.45130839072242,100.26651214275942,101.84396241280604
2017-01-12 06:00:00,99.50159282046027,99.6867480803758,99.52802903227409,101.55636074681435,98.8371031419004,102.71837565829044,100.30937173473612,102.1375812148515
2017-01-12 08:00:00,99.23566484262098,99.6867480803758,99.80168032234445,101.27069911762158,99.20836438431832,102.75175906673644,100.5279556538172,102.48287146783477
2017-01-12 10:00:00,98.92541553514175,99.6867480803758,100.27079681960795,101.07718640107163,99.516877247736,102.71837565829044,100.94797965518872,103.1433793974123
2017-01-12 12:00:00,99.35754849913066,99.6867480803758,99.68440119802858,101.44578205164295,99.11424181581799,103.18574337653448,100.57081524579391,103.04528026732436
2017-01-12 14:00:00,99.49051248805033,99.6867480803758,99.52802903227409,101.63468732256075,98.97305796306752,103.31927701031849,100.49366798023586,103.12597987688282
2017-01-12 16:00:00,99.47943215564037,99.6867480803758,99.64530815658996,101.64390221382504,98.98874505781758,103.31927701031849,100.54509949060787,103.30851216517512
2017-01-13 04:00:00,99.61239614456004,99.6867480803758,99.09800557644922,101.80986779771688,98.89985152090061,103.18032556119819,100.2965138571431,102.58370853834383
2017-01-13 06:00:00,99.57915514733011,99.6867480803758,99.05891253501062,101.80986779771688,98.89985152090061,103.28818252626911,100.2150806323874,102.53779823999052
2017-01-13 08:00:00,99.76752079829963,99.6867480803758,98.66798212062437,101.98940927640206,98.8371031419004,103.39603949134005,99.99649671330633,102.34129962224864
2017-01-13 10:00:00,99.80076179552955,99.6867480803758,98.74616820350161,102.1413289891357,98.8684773314005,103.4458196290651,100.03507034608532,102.72437437509357
2017-01-13 12:00:00,99.68995847142983,99.6867480803758,99.01981949357199,102.1413289891357,99.06718053156784,103.42922624982342,100.03507034608532,103.0693321619899
2017-01-13 14:00:00,99.68995847142983,99.6867480803758,98.98072645213335,102.18734784911315,99.00443215256762,103.53708321489437,100.03507034608532,103.12136656659943
2017-01-13 16:00:00,99.68995847142983,99.6867480803758,98.9025403692561,102.08183842207521,98.96259989990084,103.96021438555725,100.03507034608532,103.31896997468034
2017-01-16 04:00:00,99.68995847142983,99.6867480803758,99.44984294939684,102.46300664772944,99.08286762631789,104.32681324481182,100.03507034608532,104.73430736614695
2017-01-16 06:00:00,99.68995847142983,99.6867480803758,99.52802903227409,102.50438025137034,99.03057731048439,104.30199934903018,100.03507034608532,104.77676284104996
2017-01-16 08:00:00,99.68995847142983,99.6867480803758,99.68440119802858,102.40784184287494,99.20313535273496,104.04558909261992,100.08547417537538,104.80314821343946
2017-01-16 10:00:00,99.75108653088435,99.59161272170968,99.72349423946721,102.44921544651582,99.12469987898469,104.10348818277711,100.07686461876756,104.82046161910642
2017-01-16 12:00:00,99.70685342240265,99.51260455858626,99.80168032234445,102.40784184287494,99.14038697373473,104.15311597434037,100.06395028385582,104.78643337813921
