,EUR.USD_model_10000000_reward_1305613.76.pkl,EUR.USD_model_2000020_reward_65.73.pkl,EUR.USD_model_4000020_reward_33.81.pkl,EUR.USD_model_6000020_reward_956.02.pkl,EUR.USD_model_6501540_reward_125.63.pkl,EUR.USD_model_8249280_reward_-60.46.pkl,EUR.USD_model_8000020_reward_1882.94.pkl,total
2017-01-02 03:00:00,,,,,,,,
2017-01-02 04:00:00,,,,,,,,99.89490442705896
2017-01-02 05:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89490442705896
2017-01-02 06:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89490442705896
2017-01-02 07:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89490442705896
2017-01-02 08:00:00,99.95762330505362,100.10413614718114,100.0969287093498,100.02403594393432,100.02403594393434,100.01746265581376,100.0259779878261,100.14510512015207
2017-01-02 09:00:00,99.95762330505362,100.10413614718114,100.0969287093498,100.02403594393432,100.02403594393434,100.01746265581376,100.0259779878261,100.14510512015207
2017-01-02 10:00:00,99.95762330505362,100.10413614718114,100.0969287093498,100.02403594393432,100.02403594393434,100.01746265581376,100.0259779878261,100.14510512015207
2017-01-02 11:00:00,99.95762330505362,100.10413614718114,100.0969287093498,100.02403594393432,100.02403594393434,100.01746265581376,100.0259779878261,100.14510512015207
2017-01-02 12:00:00,99.95762330505362,100.06878459027945,100.0969287093498,99.99823886187095,99.99823886187096,100.01746265581376,100.00023833016355,100.0324197414611
2017-01-02 19:00:00,99.95762330505362,100.06878459027945,100.0969287093498,99.99823886187095,99.99823886187096,100.01746265581376,100.00023833016355,100.0324197414611
2017-01-02 20:00:00,100.07679819040635,100.09577598169761,100.22461680251375,100.10286036135024,100.10286036135024,99.97332676498446,100.104626941795,100.57576983115663
2017-01-02 21:00:00,100.07679819040635,100.09577598169761,100.22461680251375,100.10286036135024,100.10286036135024,99.97332676498446,100.104626941795,100.57576983115663
2017-01-02 22:00:00,100.07679819040635,100.09577598169761,100.22461680251375,100.10286036135024,100.10286036135024,99.97332676498446,100.104626941795,100.57576983115663
2017-01-02 23:00:00,100.07679819040635,100.09577598169761,100.22461680251375,100.10286036135024,100.10286036135024,99.97332676498446,100.104626941795,100.57576983115663
2017-01-03 00:00:00,100.10739779930509,100.17316722788777,100.28390354475505,99.85014450187747,99.85014450187747,99.94278949997828,99.85247362876741,99.95492513150752
2017-01-03 01:00:00,100.10739779930509,100.17316722788777,100.28390354475505,99.85014450187747,99.85014450187747,99.94278949997828,99.85247362876741,99.95492513150752
2017-01-03 02:00:00,100.10739779930509,100.17316722788777,100.28390354475505,99.85014450187747,99.85014450187747,99.94278949997828,99.85247362876741,99.95492513150752
2017-01-03 03:00:00,100.10739779930509,100.17316722788777,100.28390354475505,99.85014450187747,99.85014450187747,99.94278949997828,99.85247362876741,99.95492513150752
2017-01-03 04:00:00,99.72179491529192,100.60904026615935,100.72112976744363,99.62943613311295,99.62943613311295,99.94278949997828,99.63225655765446,99.78078769981252
2017-01-03 05:00:00,99.72179491529192,100.60904026615935,100.72112976744363,99.62943613311295,99.62943613311295,99.94278949997828,99.63225655765446,99.78078769981252
2017-01-03 06:00:00,99.72179491529192,100.60904026615935,100.72112976744363,99.62943613311295,99.62943613311295,99.94278949997828,99.63225655765446,99.78078769981252
2017-01-03 07:00:00,99.72179491529192,100.60904026615935,100.72112976744363,99.62943613311295,99.62943613311295,99.94278949997828,99.63225655765446,99.78078769981252
2017-01-03 08:00:00,99.70680696522342,100.6402658339403,100.76904075312275,99.75459975349455,99.75459975349456,99.95377745004683,99.75714156335054,100.23113649973195
2017-01-03 09:00:00,99.70680696522342,100.6402658339403,100.76904075312275,99.75459975349455,99.75459975349456,99.95377745004683,99.75714156335054,100.23113649973195
2017-01-03 10:00:00,99.70680696522342,100.6402658339403,100.76904075312275,99.75459975349455,99.75459975349456,99.95377745004683,99.75714156335054,100.23113649973195
2017-01-03 11:00:00,99.70680696522342,100.6402658339403,100.76904075312275,99.75459975349455,99.75459975349456,99.95377745004683,99.75714156335054,100.23113649973195
2017-01-03 12:00:00,99.76121409508463,100.52036918818601,100.59956457989954,99.69201794330374,99.75459975349456,99.78276944081094,99.6946990605025,99.7001384883409
2017-01-03 13:00:00,99.76121409508463,100.52036918818601,100.59956457989954,99.69201794330374,99.75459975349456,99.78276944081094,99.6946990605025,99.7001384883409
2017-01-03 14:00:00,99.76121409508463,100.52036918818601,100.59956457989954,99.69201794330374,99.75459975349456,99.78276944081094,99.6946990605025,99.7001384883409
2017-01-03 15:00:00,99.76121409508463,100.52036918818601,100.59956457989954,99.69201794330374,99.75459975349456,99.78276944081094,99.6946990605025,99.7001384883409
2017-01-03 16:00:00,99.7378505743764,100.54539731503334,100.67423276070464,99.65571093891823,99.71606919520188,99.85796116050645,99.65847287564412,99.74059924744402
2017-01-03 17:00:00,99.7378505743764,100.54539731503334,100.67423276070464,99.65571093891823,99.71606919520188,99.85796116050645,99.65847287564412,99.74059924744402
2017-01-03 18:00:00,99.7378505743764,100.54539731503334,100.67423276070464,99.65571093891823,99.71606919520188,99.85796116050645,99.65847287564412,99.74059924744402
2017-01-03 19:00:00,99.7378505743764,100.54539731503334,100.67423276070464,99.65571093891823,99.71606919520188,99.85796116050645,99.65847287564412,99.74059924744402
2017-01-03 20:00:00,99.7378505743764,100.61714461199563,100.6136689403773,99.69703404259386,99.75764673852183,99.7973973401791,99.69970399393688,99.81535066903996
