,AAPL,BABA,BLDR,COST,CP,DDOG,GRBK,MCO,META,MMC,MRUS,MSFT,NEE,NFLX,NUVL,NVDA,PINS,PWR,RTX,SBLK,SE,SNAP,TDW,TJX,total
2017-01-03 11:00:00,100.0,100.0,99.52517667844523,99.80564263322884,99.52647587446425,100.0,99.009900990099,100.25457190357437,100.0,100.0,99.9509411764706,100.0559373501678,99.96427745226153,100.0,100.0,100.39548418840164,100.0,99.46099290780143,100.21721422753191,99.8082430786163,100.0,100.0,96.94444444450926,100.20557029177718,99.79686971655622
2017-01-03 12:00:00,100.0,100.0,99.4712160279941,99.93630407523511,98.84211253974836,100.0,98.9586497338176,100.29613466334165,100.0,100.13229383886255,99.9509411764706,100.02397315007191,99.96427745226153,100.0,100.0,99.25301372835733,100.0,99.43001183733865,100.50683319757442,99.8082430786163,100.0,100.0,96.1111111111623,100.1911224851067,99.70317658733163
2017-01-03 13:00:00,100.0,100.0,98.85311436225787,99.729407523511,98.80431855560293,100.0,98.8576398328275,100.34808811305072,100.0,100.08045734597154,99.90188235294119,99.9440626498322,99.69375837536435,100.0,100.0,99.34352253461957,100.0,99.42998326445226,100.25794189519415,99.8082430786163,100.0,100.0,96.00833333339288,100.19091227493357,99.63548606219034
2017-01-03 14:00:00,100.1323200935775,100.0,98.06724224439321,99.87302643958864,98.80664942176216,100.0,98.8576398328275,100.63902743142145,100.0,99.91384004739336,100.01926401023985,99.87095070603948,99.90432015419027,100.0,100.0,98.47806650819365,100.0,99.42888933108833,100.30572902525115,99.8082430786163,100.0,100.0,96.66666666669825,100.19108544366651,99.62345668478949
2017-01-03 15:00:00,100.7472938012346,100.0,96.83103891292076,100.45150210389939,98.80917452676796,100.0,98.85763983282749,100.62819894754253,100.0,99.91250618115737,99.7117900272692,100.41565106399284,99.959066216685,100.0,100.0,97.79378029804838,100.0,99.4275627327925,100.56113675445741,97.95757106646208,100.0,100.0,96.80555555560376,100.6150491328678,99.5618548814387
2017-01-03 16:00:00,100.63632462064336,100.0,95.50653534348598,100.42320709857982,98.7981676587939,100.0,98.75513732026467,100.48005457313128,100.0,99.9118182143681,99.71079002726918,100.3964177556948,100.29596506280646,100.0,100.0,96.86156430161856,100.0,99.4261340884739,100.67326916463028,97.95757106646208,100.0,100.0,98.33333333339218,101.89266481702859,99.58578976861013
2017-01-04 10:00:00,100.77193681282522,100.0,94.97673391571207,100.1874153875836,98.79259947852468,100.0,98.65288606398327,99.65579309046637,100.0,99.91132247359347,99.66140776002378,100.39682199220637,100.08961451955707,100.0,100.0,97.53593332031247,100.0,99.42266452370022,100.67326916463028,97.77124716748757,100.0,100.0,100.97222222225248,101.80511973731211,99.63654115125713
2017-01-04 11:00:00,100.77122186117263,100.5361313788521,94.62353296386279,100.55839434621767,98.78939453755576,100.0,98.55063480770185,99.20714443534497,100.0,99.91150458244944,99.61202549277834,100.39628301019093,100.30438753395948,100.0,100.0,96.87148149306994,100.0,99.42409316801877,100.62801620056112,97.58492326851308,100.0,100.0,103.88888888892383,101.80588566574212,99.72766431812144
2017-01-04 12:00:00,100.77105701393558,100.34308007796446,94.44693248793814,100.58354546205726,98.78722553710206,100.0,97.48364495998612,99.52015512496455,100.0,99.91143376233876,99.61202549277834,100.37123286268823,100.2538527070413,100.0,100.0,95.36902698818574,100.0,99.42123587938161,100.56380475324676,98.28300354774518,100.0,100.0,103.85122150075608,101.80702832531449,99.64081277014267
2017-01-04 13:00:00,100.77111196301462,100.3686234972563,94.37174086672145,100.77846660981413,98.78761401479525,100.0,97.98155010580082,99.50690947203042,100.60616932117853,100.0121826995847,100.1550966390234,100.40237171575468,99.90895251332444,100.16022064252613,100.0,95.35415120100865,100.0,99.31949663001055,100.34256468764637,96.36328277985689,100.0,100.0,104.11094849398141,101.8082748630298,99.62957202984828
2017-01-04 14:00:00,100.77100948298224,100.4504528581735,94.35559483233597,100.52695545141816,98.78664282056225,100.0,97.48264495998613,99.50611150657093,100.1912753485198,99.75502159130237,100.43177648092065,100.67555196681941,100.13464020222608,100.73260846269218,100.0,95.2143105206893,100.0,99.19176454229365,100.46447247889557,96.53780284966493,100.0,100.0,103.30161167023327,101.80692444717154,99.59654885306075
2017-01-04 15:00:00,100.6993982654102,100.72923698725745,94.33191398190394,100.47036544077906,98.77997395349563,100.0,96.98373981417146,99.50445857811911,99.88669270306363,99.73297921059243,100.42731131912426,100.54699655455364,100.27790007997066,100.68703363343718,100.0,95.0379268220048,100.0,99.10660981714908,100.56380475324676,94.79260215158465,100.0,100.0,102.62716431712376,101.80765159417214,99.45807333238167
2017-01-04 16:00:00,101.25970505068987,100.75519481254213,94.32868477502683,102.01715906491427,98.77058574257657,100.0,98.48045525161545,99.50240666693756,100.30972415508609,99.8946233357985,100.38578562742464,100.83624623215158,99.28350798739086,102.12672721871853,100.0,95.39253675108284,100.0,99.30530417581977,100.69022764787553,87.63553408875741,100.0,100.0,101.95271696401424,101.80515851874154,99.36384516946516
2017-01-05 10:00:00,100.96662150146665,100.75456312714253,94.35236562545886,102.29679271362495,98.76255720358371,100.0,98.37413368180547,99.50166569901089,100.70737371998716,99.98279285863813,100.34519786651241,100.65948254028618,99.848120446737,102.16545554090352,100.0,94.38927817335615,100.0,99.44722871772737,101.44876501564825,85.19399831214311,100.0,100.0,103.84116955270416,101.8014189055956,99.36829088343052
