,Alert,Current Week,Underwater,Week
EUR.USD_model_10000000_reward_1305613.76.pkl,-0.8419090998280931,0.7242631046550596,0.16666666666666666,2025-04-27
EUR.USD_model_2000020_reward_65.73.pkl,-0.804180059610123,-2.375527159342644,23.5,2025-04-27
EUR.USD_model_4000020_reward_33.81.pkl,-0.7812833584570388,0.8339983587767493,53.333333333333336,2025-04-27
EUR.USD_model_6000020_reward_956.02.pkl,-0.6374357034707716,-0.28728217361209685,50.833333333333336,2025-04-27
EUR.USD_model_6501540_reward_125.63.pkl,-0.8020935029232904,0.3450617433920852,7.5,2025-04-27
EUR.USD_model_8249280_reward_-60.46.pkl,-0.6925333834458562,-2.1644725442834094,53.666666666666664,2025-04-27
EUR.USD_model_8000020_reward_1882.94.pkl,-0.7858415381125229,1.031754498387716,10.0,2025-04-13
total,-0.7636109494068136,-0.2703148817180771,53.166666666666664,2025-04-27
