,Alert,Current Month,Month,Underwater
EUR.USD_model_10000000_reward_1305613.76.pkl,-1.341583792095594,0.5317166292831462,2025-06-30,0.3333333333333333
EUR.USD_model_2000020_reward_65.73.pkl,-1.228823358598985,-1.2202202876353696,2025-06-30,64.83333333333333
EUR.USD_model_4000020_reward_33.81.pkl,-1.3333981315520358,-0.7816385575475433,2025-06-30,98.33333333333333
EUR.USD_model_6000020_reward_956.02.pkl,-0.9326120709700896,-1.3277789877145987,2025-06-30,35.0
EUR.USD_model_6501540_reward_125.63.pkl,-1.2111564493741258,0.8457008463486855,2025-06-30,0.3333333333333333
EUR.USD_model_8249280_reward_-60.46.pkl,-1.429978716990844,0.623968811319246,2025-06-30,95.16666666666667
EUR.USD_model_8000020_reward_1882.94.pkl,-1.219491270654342,1.1146288369698305,2025-05-31,48.0
total,-1.2424348271765737,0.0,2025-06-12,98.5
