,@ES.#,SW#.C,EX#.,@NQ.#,@YM.#,LF#.,XG#.,total
2023-11-01 00:00:00,192.0174834353512,134.9593521166739,167.13973102472303,229.2158845301686,177.27125001341426,159.09678377468168,213.72675501254875,673.4272399075614
2023-11-01 01:00:00,192.0044588333252,134.9593521166739,167.13973102472303,229.20227572673838,177.2498566409335,159.08495785225975,213.71862651729577,673.3592587119496
2023-11-01 02:00:00,192.04946496651374,134.9593521166739,167.20424318987415,229.23660278731626,177.317662144466,159.23193717378973,213.86252055026654,673.8617829289003
2023-11-01 03:00:00,192.02848088547174,134.9593521166739,167.228807179066,229.21231630734837,177.2981130282336,159.2116641639235,213.84463786071007,673.7833715414272
2023-11-01 04:00:00,191.93509308362653,134.9968460692622,167.0683097189479,229.13107566667728,177.19282057963144,158.94977018041396,213.60680510435554,672.8807204029147
2023-11-01 05:00:00,191.93002796061643,134.99563658692063,167.06830367911778,229.1176644260601,177.19355828213074,158.937944257992,213.60274085672904,672.8458760495668
2023-11-01 06:00:00,191.92414785717833,134.9266960934518,167.01300300546052,229.12608156448894,177.2057109498601,158.86192047099377,213.57997536024845,672.6375353016821
2023-11-01 07:00:00,191.91474120015954,134.92306764642717,167.00685596833245,229.10051638706233,177.20091588361439,158.85685221852722,213.56615691831843,672.5691062224415
2023-11-01 08:00:00,192.27312744511974,135.34033905426455,167.60148013384995,229.39116132615197,177.58475635366864,159.38485401865938,213.91832159530102,675.4940399270153
2023-11-01 09:00:00,192.30207100517762,135.37299507748668,167.7245268598108,229.4728860736632,177.63349654998592,159.47608256305725,214.00454536564834,675.9866034948299
2023-11-01 10:00:00,192.4293649322527,135.65480446306967,167.78904808916016,229.70584223738234,177.86116231226228,159.37894105744837,214.13452477244132,676.9536878640168
2023-11-01 11:00:00,192.39767219883942,135.69955530970725,167.78597457059615,229.6869826802644,177.81463757941395,159.37894105744837,214.14103222680714,676.9047956230766
2023-11-01 12:00:00,192.3599370720453,135.4999907233502,167.70956416494525,229.74831569505542,177.7012964236374,159.18803916605754,214.0690433497113,676.2761865948024
2023-11-01 13:00:00,192.37722401754345,135.50482865271647,167.70956416494525,229.78058649279066,177.7330514000259,159.1795920786133,214.07555080407712,676.3603976107122
2023-11-01 14:00:00,192.60691891032488,135.58123234728401,167.97646423988544,230.21377065659652,178.02449004007283,159.31989668553194,214.2980735750034,678.020846454699
2023-11-01 15:00:00,192.68471016506658,135.5957461353827,168.01641998121812,230.3545886830773,178.07766116332803,159.35537445279778,214.3631481186618,678.4476486995324
2023-11-01 16:00:00,192.7436506251315,135.60543849867912,168.03794497002878,230.48949838756124,178.08764105569304,159.35960016302727,214.36883806533885,678.6926117654598
2023-11-01 17:00:00,192.7436506251315,135.60543849867912,168.0348714514647,230.48949838756124,178.08764105569304,159.35960016302727,214.3631481186618,678.6838483002189
2023-11-01 18:00:00,192.8363857894122,135.60543849867912,168.0348714514647,230.5945684493275,178.12734588196696,159.35960016302727,214.3631481186618,678.9213583525395
2023-11-01 19:00:00,192.8720898739595,135.60543849867912,168.0348714514647,230.6347871075017,178.15150330049056,159.35960016302727,214.3631481186618,679.0214385137847
2023-11-01 20:00:00,192.90897535214822,135.60543849867912,168.05663220749557,230.6811839882675,178.1650710815707,159.37312464233483,214.39269506547726,679.1831208359732
2023-11-01 21:00:00,192.91468800567583,135.60543849867912,168.068756358805,230.69883095052765,178.1672672105274,159.37312464233483,214.39911849815968,679.2272241647095
2023-11-01 22:00:00,192.9024220696406,135.60543849867912,167.9778957132362,230.69425331711523,178.129797292111,159.2708854361133,214.3405294185099,678.9212217454053
2023-11-01 23:00:00,192.90313615133155,135.60543849867912,167.9778957132362,230.69425331711523,178.1286992276326,159.2675333309913,214.3389235603393,678.9158797993254
2023-11-02 00:00:00,192.88219318529,135.60543849867912,168.0148775518008,230.69650085364486,178.10335400567956,159.3088359900512,214.3197717259189,678.9309718110643
2023-11-02 01:00:00,192.8807650219081,135.60543849867912,168.01790858962818,230.70100321943346,178.1018899197084,159.30883492121188,214.31575708049238,678.9315972510617
2023-11-02 02:00:00,192.8960481577779,135.60543849867912,168.09663333567892,230.7403816397258,178.12908515870004,159.4093927306758,214.35427623215324,679.2312557533908
2023-11-02 03:00:00,192.91317536252294,135.60543849867912,168.15121187534854,230.71827911676374,178.1393327103748,159.4093660096928,214.36792602660339,679.3047295999853
2023-11-02 04:00:00,193.1073256407879,135.76824255920394,168.83620144793008,230.7859748151266,178.35139965165388,159.77267860688747,215.04773383665014,681.66955655824
2023-11-02 05:00:00,193.1173165102225,135.7681009067515,168.8604497505489,230.76756312712018,178.35871933142158,159.77266471197632,215.1216056851285,681.7664200231695
2023-11-02 06:00:00,193.14761078966654,135.74172184416827,169.00279104634805,230.79552327130813,178.387325601025,159.71568533793794,215.14248601733166,681.9331439077857
2023-11-02 07:00:00,193.16045619322534,135.74169720895915,169.01188415983017,230.76770116498747,178.3785419853038,159.69730770965708,215.11197373209066,681.8695621540537
2023-11-02 08:00:00,193.62572374740762,135.7680947479492,169.12420791459184,230.8024497870331,178.7529016400511,159.8961347333473,215.16897503090178,683.1384876012819
2023-11-02 09:00:00,193.6628326910219,135.76802700112412,169.1362608840879,230.85032017584953,178.76827296756323,159.95460900515002,215.18503412839706,683.3253568531937
