,model_10000000_reward_1305613.76.pkl,model_2000020_reward_65.73.pkl,model_4000020_reward_33.81.pkl,model_6000020_reward_956.02.pkl,model_6501540_reward_125.63.pkl,model_8249280_reward_-60.46.pkl,model_8000020_reward_1882.94.pkl
pnl_live,51976.967098060566,86910.59900807381,117589.18587553347,117666.48698074336,94384.30991932406,41062.509878784454,105476.57615054623
dd,-12805.081070816348,-15551.334325350668,-9622.476746417713,-7671.855460942039,-11284.228664768496,-10344.917919528663,-14991.569837804083
lowest_point,-3311.6501614496065,0.0,-245.552040884183,-739.1277337741051,-517.840572220264,-1838.3586549871898,-965.1675357976214
total_trades,4072.0,5390.0,9007.0,770.0,2991.0,7223.0,494.0
trade_duration,7.763969171483622,5.29506246281975,3.3253176043557167,26.99625468164794,8.829787234042554,4.145567311200292,38.73348519362187
