,EUR.USD_model_10000000_reward_1305613.76.pkl,EUR.USD_model_2000020_reward_65.73.pkl,EUR.USD_model_4000020_reward_33.81.pkl,EUR.USD_model_6000020_reward_956.02.pkl,EUR.USD_model_6501540_reward_125.63.pkl,EUR.USD_model_8249280_reward_-60.46.pkl,EUR.USD_model_8000020_reward_1882.94.pkl,total
2025-03-01 00:00:00,66.66666666666666,40.0,36.11111111111111,33.33333333333333,66.66666666666666,50.0,100.0,56.1111111111111
2025-02-01 00:00:00,33.33333333333333,55.55555555555556,52.72727272727272,75.0,52.38095238095239,64.58333333333334,100.0,61.94006390434962
2025-01-01 00:00:00,57.14285714285714,50.0,57.35294117647059,50.0,46.666666666666664,49.01960784313725,87.5,56.81172468987595
2024-12-01 00:00:00,50.0,50.0,58.92857142857143,57.14285714285714,64.70588235294117,63.26530612244898,81.81818181818183,60.837256980714365
2024-11-01 00:00:00,59.09090909090909,57.14285714285714,58.333333333333336,50.0,52.17391304347826,66.66666666666666,50.0,56.20109703960635
2024-10-01 00:00:00,68.96551724137932,55.55555555555556,45.76271186440678,100.0,68.18181818181817,45.0,50.0,61.923657549022835
2024-09-01 00:00:00,50.0,54.054054054054056,43.47826086956522,0.0,57.14285714285714,62.857142857142854,80.0,49.647473560517035
2024-08-01 00:00:00,57.14285714285714,52.17391304347826,50.0,100.0,47.05882352941176,65.38461538461539,50.0,60.251458442908934
2024-07-01 00:00:00,68.18181818181817,38.70967741935484,41.509433962264154,75.0,44.44444444444444,67.85714285714286,100.0,62.24321669500349
2024-06-01 00:00:00,58.82352941176471,66.66666666666666,60.86956521739131,40.0,36.84210526315789,77.77777777777779,100.0,62.997092048108335
2024-05-01 00:00:00,43.47826086956522,41.02564102564102,42.857142857142854,83.33333333333334,35.714285714285715,56.00000000000001,100.0,57.48695197142403
2024-04-01 00:00:00,63.63636363636363,52.63157894736842,50.0,50.0,55.00000000000001,75.67567567567568,33.33333333333333,54.325278798963005
2024-03-01 00:00:00,69.56521739130434,60.71428571428571,37.5,0.0,47.05882352941176,50.0,100.0,52.1197609478574
2024-02-01 00:00:00,58.333333333333336,57.57575757575758,54.166666666666664,50.0,50.0,66.66666666666666,0.0,48.10606060606061
2024-01-01 00:00:00,51.42857142857142,51.162790697674424,60.78431372549019,83.33333333333334,45.0,65.95744680851064,100.0,65.38092228479715
2023-12-01 00:00:00,63.63636363636363,67.74193548387096,54.71698113207547,60.0,59.09090909090909,61.111111111111114,50.0,59.47104292204718
2023-11-01 00:00:00,45.45454545454545,54.285714285714285,44.642857142857146,75.0,38.46153846153847,65.11627906976744,,53.8268224024038
2023-10-01 00:00:00,58.620689655172406,46.51162790697674,56.60377358490566,33.33333333333333,53.57142857142857,67.3469387755102,100.0,59.426827403903836
2023-09-01 00:00:00,57.14285714285714,42.5,69.38775510204081,50.0,42.10526315789473,69.56521739130434,0.0,47.24301325629957
2023-08-01 00:00:00,60.60606060606061,52.38095238095239,61.111111111111114,0.0,41.66666666666667,65.21739130434783,50.0,47.2831688670198
2023-07-01 00:00:00,59.25925925925925,60.0,60.86956521739131,75.0,57.89473684210527,59.375,33.33333333333333,57.961699236012734
2023-06-01 00:00:00,55.172413793103445,44.11764705882353,50.0,83.33333333333334,50.0,58.536585365853654,66.66666666666666,58.260949459682934
2023-05-01 00:00:00,50.0,60.526315789473685,61.904761904761905,60.0,47.82608695652174,64.91228070175438,75.0,60.024206478930246
2023-04-01 00:00:00,57.89473684210527,44.11764705882353,56.896551724137936,66.66666666666666,50.0,58.97435897435898,33.33333333333333,52.55475637134653
2023-03-01 00:00:00,47.05882352941176,50.0,56.25,70.0,53.84615384615385,53.125,0.0,47.18285391079509
2023-02-01 00:00:00,51.724137931034484,53.65853658536586,61.53846153846154,50.0,43.75,57.77777777777777,50.0,52.63555911894853
2023-01-01 00:00:00,48.275862068965516,50.0,58.490566037735846,77.77777777777779,35.714285714285715,75.0,88.88888888888889,62.021054355379114
2022-12-01 00:00:00,51.724137931034484,38.23529411764706,63.934426229508205,85.71428571428571,36.84210526315789,69.0909090909091,80.0,60.79159404950607
2022-11-01 00:00:00,43.333333333333336,66.66666666666666,48.97959183673469,83.33333333333334,58.82352941176471,55.55555555555556,66.66666666666666,60.479810972007854
2022-10-01 00:00:00,58.82352941176471,52.94117647058824,67.74193548387096,75.0,52.17391304347826,67.74193548387096,66.66666666666666,63.01273665146282
2022-09-01 00:00:00,48.57142857142857,46.93877551020408,64.40677966101694,62.5,64.70588235294117,65.71428571428571,88.88888888888889,63.103720099823626
2022-08-01 00:00:00,53.333333333333336,47.16981132075472,59.32203389830508,55.55555555555556,60.71428571428571,73.84615384615385,63.63636363636363,59.082505329250274
2022-07-01 00:00:00,54.54545454545454,65.71428571428571,60.3448275862069,88.88888888888889,73.52941176470588,66.15384615384615,62.5,67.38238780762687
2022-06-01 00:00:00,59.375,51.162790697674424,58.06451612903226,66.66666666666666,50.0,73.21428571428571,71.42857142857143,61.41597580517578
2022-05-01 00:00:00,54.054054054054056,48.484848484848484,57.14285714285714,66.66666666666666,66.66666666666666,64.28571428571429,80.0,62.47154390011532
2022-04-01 00:00:00,55.55555555555556,43.58974358974359,56.36363636363636,60.0,50.0,65.45454545454545,70.0,57.28049728049728
2022-03-01 00:00:00,71.875,58.69565217391305,55.88235294117647,66.66666666666666,44.827586206896555,40.38461538461539,70.0,58.333124767609725
2022-02-01 00:00:00,53.125,39.285714285714285,48.0,66.66666666666666,48.0,68.0,100.0,60.439625850340136
