,Alert,Current Month,Month,Underwater
AAPL,-0.364876204625342,0.015583819231662814,2025-05-31,133.33333333333334
BABA,-0.09468728527919937,0.04364806218143852,2025-05-31,0.08333333333333333
BLDR,-1.1049272810463697,-0.014987956828820837,2025-05-31,101.20833333333333
COST,-0.2917462369030272,0.008197376836902689,2025-05-31,36.041666666666664
CP,-2.7547117642361085,0.062175565923238696,2025-05-31,1.3333333333333333
DDOG,-0.17098633438143673,-0.01624488234224134,2025-03-31,61.208333333333336
GRBK,-1.2637733200028707,0.05971669760791761,2025-05-31,2.9583333333333335
MCO,-0.17922707141770122,0.05677413121462369,2025-05-31,0.041666666666666664
META,-0.09357889421236484,0.03323936440064076,2025-05-31,0.041666666666666664
MMC,-1.121520906690655,0.004782510070177319,2025-05-31,41.291666666666664
MRUS,-0.030511156749130238,-0.007685157630772046,2025-05-31,9.0
MSFT,-0.06547896136382948,0.013167564472014687,2025-05-31,111.20833333333333
NEE,-0.21259586812411102,0.017361199484536828,2025-05-31,1.125
NE,-0.9063152276119323,0.1581467215938011,2025-05-31,42.041666666666664
NFLX,-0.15153060205488128,0.0006616168403422645,2025-05-31,0.08333333333333333
NUVL,-6.817733959224632,0.6583405010276367,2025-05-31,101.125
NVDA,-0.45305671699052064,0.006204862223427159,2025-05-31,28.125
PINS,-0.6474549383491847,0.09391802481332151,2025-05-31,0.041666666666666664
PWR,-1.6007691069945247,0.027086833531001032,2025-05-31,15.25
RTX,-1.292062624187003,0.12362315383775659,2025-05-31,42.166666666666664
SBLK,-0.3067920080133657,0.023348082704167324,2025-05-31,0.08333333333333333
SE,-0.8280433006996248,-0.0046861049681939885,2025-05-31,1.2916666666666667
SNAP,-0.6601919249562839,0.01804266665220079,2025-05-31,15.125
TDW,-1.8935161115818238,0.05874292838575576,2025-05-31,0.08333333333333333
TJX,-0.758698009607967,0.024553413400786997,2025-05-31,0.041666666666666664
V,-0.28170061344981273,0.08735039402712251,2025-05-31,0.041666666666666664
total,-0.9364033241828348,4.245795797958749,2025-05-16,2.125
