,AAPL,BABA,BLDR,COST,CP,DDOG,GRBK,MCO,META,MMC,MRUS,MSFT,NEE,NFLX,NUVL,NVDA,PINS,PWR,RTX,SBLK,SE,SNAP,TDW,TJX,total
2017-01-03 10:00:00,100.0,100.0,100.0,100.0,100.0,,100.0,,,100.0,,,,,,,,,,,,,,,100.0
2017-01-03 11:00:00,99.9275226778927,100.37988015593595,99.76446696339973,99.91718196529202,99.47358933707277,,100.0469248305529,,,99.90408610592199,,,,,,,,,,,,,,,99.91623600515257
2017-01-03 12:00:00,99.90304510956281,100.84694592143101,100.02415723452312,99.84961988434604,99.10750679483404,,99.85922550834131,,,100.0767311152624,,,,,,,,,,,,,,,99.95246165261439
2017-01-03 13:00:00,99.93246431349093,100.74315352909868,100.02657295797542,99.94333502888401,98.578423996562,,99.85922550834131,,,99.89449471651419,,,,,,,,,,,,,,,99.85395286440951
2017-01-03 14:00:00,99.85669256765146,100.48367254826807,100.19567359963715,99.79949317912805,98.67996513966472,,99.81230067778841,,,99.9616344423688,,,,,,,,,,,,,,,99.8270617363581
2017-01-03 15:00:00,99.9209338304284,100.58746494060033,100.41067298689278,99.84961988434604,98.48757139483853,,99.81230067778841,,,100.17744070404432,,,,,,,,,,,,,,,99.89228634556268
2017-01-03 16:00:00,100.15483791541105,100.6393611367663,100.74887427021625,100.05012670521799,98.27914483794348,,99.90615033889421,,,100.33569862927307,,,,,,,,,,,,,,,100.01631340481747
2017-01-04 10:00:00,100.197665423929,107.43776283452814,101.11123278806281,100.04031930637099,99.18767085517828,,99.90615033889421,,,100.66180586913828,,,,,,,,,,,,,,,101.22037248801452
2017-01-04 11:00:00,100.09389107636626,107.38586663836205,101.25617619520145,99.95859098264602,99.6472781344853,,99.76537584723552,,,100.89679490962943,,,,,,,,,,,,,,,101.2862819691323
2017-01-04 12:00:00,100.2306096612505,109.92878025050196,101.35280513329387,100.08717687863998,99.91181953362133,,99.90615033889421,,,100.8104724049592,,,,,,,,,,,,,,,101.74683060016585
2017-01-04 13:00:00,100.1515434916789,108.21620577701997,101.40111960234007,100.09589456650399,100.09085260172347,,100.09384966110578,,,100.84404226788651,,,,,,,,,,,,,,,101.55621542403696
2017-01-04 14:00:00,100.1778988815361,108.4507765836909,101.23201896067835,100.16345664744996,100.05878697758578,,100.0469248305529,,,100.92077338314893,,,,,,,,,,,,,,,101.57866232352042
2017-01-04 15:00:00,100.12874607945241,109.20223350417636,101.41319821960163,100.07627976881,100.13895103793003,,100.09384966110578,,,100.7529240685124,,,,,,,,,,,,,,,101.68659747708409
2017-01-04 16:00:00,100.11530483062525,110.49963840832935,101.67892779935578,100.05666497111599,100.68941091896055,,100.14077449165869,,,100.73853698440071,,,,,,,,,,,,,,,101.98846548634948
2017-01-05 10:00:00,100.329442373215,126.53556302366056,101.71516365114043,100.59280277475189,101.46433016895493,,100.0,,,100.8440422678865,,,,,,,,,,,,,,,104.4973348942299
2017-01-05 11:00:00,100.21743196632191,126.27608204283003,101.44943407138628,100.78895075169184,102.12701973446738,,100.0469248305529,,,100.90159060433331,,,,,,,,,,,,,,,104.54391914308337
2017-01-05 12:00:00,100.20425427139328,125.54953529650429,101.06291831901662,100.78459190775983,101.92928171895156,,99.81230067778841,,,100.62344031150707,,,,,,,,,,,,,,,104.28090321470302
2017-01-05 13:00:00,100.33603122067929,127.85476433020332,101.15954725710903,100.76852956787042,101.91324890688273,,99.9530751694471,,,100.66180586913828,,,,,,,,,,,,,,,104.66385747447573
2017-01-05 14:00:00,100.26684832230414,130.68725871695017,101.0870755535397,100.70613271698386,101.26926428878393,,99.9530751694471,,,100.66180586913828,,,,,,,,,,,,,,,104.94735151959246
2017-01-05 15:00:00,100.21413754258974,131.2062206786114,101.0629183190166,100.69861371120116,101.4803629810238,,99.9530751694471,,,100.66180586913828,,,,,,,,,,,,,,,105.03959061014687
2017-01-05 16:00:00,100.30967583082207,130.635362520784,101.0629183190166,100.74318289040585,101.34408407843858,,99.9530751694471,,,100.7673111526241,,,,,,,,,,,,,,,104.97365856593406
2017-01-06 10:00:00,100.66217917016215,127.1064211814878,100.74887427021625,100.48383167645191,101.84377338791774,,99.9530751694471,,,100.92077338314895,,,,,,,,,,,,,,,104.53127546269027
2017-01-06 11:00:00,100.64241262776923,127.00314775111715,100.54353777676985,100.44896092499592,102.0254785913647,,100.09384966110578,,,100.82485948907093,,,,,,,,,,,,,,,104.51174954602766
2017-01-06 12:00:00,100.7448692058391,126.79504400449098,100.70055980117004,100.5598935030653,102.42629889308593,,100.0,,,101.2181064547908,,,,,,,,,,,,,,,104.6349674089203
2017-01-06 13:00:00,100.73607309447425,127.8142852971936,100.38651575236969,100.67453109847686,102.39156113360342,,100.0,,,101.2181064547908,,,,,,,,,,,,,,,104.74586754727265
2017-01-06 14:00:00,100.71159552614438,127.9886565163117,100.49522330772365,100.66472369962987,102.44233170515477,,99.9530751694471,,,101.10300978189717,,,,,,,,,,,,,,,104.76551652947266
