,0
@ES.#,2025-03-11 08:00:00
SW#.C,2025-03-11 08:00:00
EX#.,2025-03-11 08:00:00
@NQ.#,2025-03-11 08:00:00
@YM.#,2025-03-11 08:00:00
LF#.,2025-03-11 08:00:00
XG#.,2025-03-11 08:00:00
total,2025-03-11 08:00:00
