,FADAUSDT,FAVAXUSDT,FBNBUSDT,FBTCUSDT,FETHUSDT,FSOLUSDT,FTRXUSDT,FXRPUSDT,FDOGEUSDT,total
2022-04-01 00:00:00,,,,,,,,,,
2022-04-01 01:00:00,100.0,,,100.0,,100.0,,,100.0,100.0
2022-04-01 02:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.0,100.0,100.30745859280876
2022-04-01 03:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.0,100.0,100.30745859280876
2022-04-01 04:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 05:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 06:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 07:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 08:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 09:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 10:00:00,100.37005895023864,,100.0,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.38031267242836
2022-04-01 11:00:00,100.37005895023864,,100.41858198707494,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.42015421007792
2022-04-01 12:00:00,100.37005895023864,,100.41858198707494,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.42015421007792
2022-04-01 13:00:00,100.37005895023864,,100.41858198707494,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.42015421007792
2022-04-01 14:00:00,100.37005895023864,,100.41858198707494,100.40753628258237,,101.18181610802192,,100.63401670128204,100.0,100.42015421007792
2022-04-01 15:00:00,100.37005895023864,,100.41858198707494,100.40753628258237,,101.18181610802192,,101.14232264271375,100.0,100.47856302084473
2022-04-01 16:00:00,100.37005895023864,,100.41858198707494,104.0163102446563,,101.18181610802192,,101.14232264271375,100.0,100.89783410996668
2022-04-01 17:00:00,100.37005895023864,,100.41858198707494,104.60307088450062,,101.18181610802192,,101.14232264271375,100.0,100.96600456760876
2022-04-01 18:00:00,100.37005895023864,,98.2762784019577,104.60307088450062,,101.18181610802192,,101.14232264271375,100.0,100.76209548509021
2022-04-01 19:00:00,100.37005895023864,,98.2762784019577,104.60307088450062,,101.18181610802192,,101.14232264271375,100.0,100.76209548509021
2022-04-01 20:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,101.18181610802192,,101.14232264271375,100.0,100.98301920204545
2022-04-01 21:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.62569226015185,,101.14232264271375,100.0,99.93456780629467
2022-04-01 22:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.62569226015185,,101.14232264271375,100.0,99.93456780629467
2022-04-01 23:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.62569226015185,,101.14232264271375,100.0,99.93456780629467
2022-04-02 00:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.62569226015185,,101.14232264271375,100.0,99.93456780629467
2022-04-02 01:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.62569226015185,,101.14232264271375,101.0256852541335,100.02785478422733
2022-04-02 02:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 03:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 04:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 05:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 06:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 07:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 08:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 09:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 10:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 11:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 12:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 13:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 14:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
2022-04-02 15:00:00,102.57371586251661,,98.2762784019577,104.60307088450062,,95.81358691713203,,101.14232264271375,101.0256852541335,100.06331087209702
