,Alert,Current Month,Month,Underwater
FADAUSDT,-11.46050597343384,1.9123227405432317,2025-05-01,66.875
FAVAXUSDT,-13.940327727274546,-18.738029868482585,2025-05-01,81.58333333333333
FBNBUSDT,-7.613484202984266,-15.838118789356884,2025-05-01,12.0
FBTCUSDT,-6.3372376400203425,-1.0046132377394343,2025-05-01,8.166666666666666
FETHUSDT,-6.397514496555093,9.654713974818037,2025-05-01,3.3333333333333335
FSOLUSDT,-5.678813668424073,0.37808491377859355,2025-05-01,9.125
FTRXUSDT,-4.3216845793254395,7.365339526458229,2025-05-01,0.041666666666666664
FXRPUSDT,-8.645492120445823,4.51289170507377,2025-05-01,0.041666666666666664
FDOGEUSDT,-19.43437264508352,-5.626493425223202,2025-05-01,2.9166666666666665
total,-9.314381450394105,-1.2744198046240456,2025-05-14,4.583333333333333
