,AAPL,BABA,BLDR,COST,CP,DDOG,GRBK,MCO,META,MMC,MRUS,MSFT,NEE,NE,NFLX,NUVL,NVDA,PINS,PWR,RTX,SBLK,SE,SNAP,TDW,TJX,V,total
2017-01-03 08:00:00,100.0,100.0,99.52517667844523,100.0,100.0,100.0,99.009900990099,100.0,100.0,100.0,99.9509411764706,100.0559373501678,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8082430786163,100.0,100.0,100.0,100.20557029177718,100.0,99.81249512297498
2017-01-03 12:00:00,100.0,100.0,99.4712160279941,100.13066144200627,99.3156366652841,100.0,98.9586497338176,100.04156275976727,100.0,100.13229383886255,99.9509411764706,100.02397315007191,100.0,100.0,100.0,100.0,98.85752953995569,100.0,99.96901892953723,100.28961897004251,99.8082430786163,100.0,100.0,99.16666666665304,100.1911224851067,100.0,99.7260091575369
2017-01-03 16:00:00,100.69229155709937,100.0,96.83103891292076,100.64585947067054,99.28269865230371,100.0,98.75513732026467,100.36112063505873,100.0,99.91250618115737,99.76070588235295,100.3976689639449,99.99478876442348,100.0,100.0,100.0,97.39829610964674,100.0,99.96656982499107,100.33839723051858,97.95757106646208,100.0,100.0,99.8611111110945,100.6150491328678,100.0,99.58999670952119
2017-01-03 20:00:00,100.69229155709937,100.0,96.83103891292076,100.64585947067054,99.28269865230371,100.0,98.75513732026467,100.36112063505873,100.0,99.91250618115737,99.76070588235295,100.3976689639449,99.99478876442348,100.0,100.0,100.0,97.39829610964674,100.0,99.96656982499107,100.33839723051858,97.95757106646208,100.0,100.0,99.8611111110945,100.6150491328678,100.0,99.58999670952119
2017-01-04 00:00:00,100.69229155709937,100.0,96.83103891292076,100.64585947067054,99.28269865230371,100.0,98.75513732026467,100.36112063505873,100.0,99.91250618115737,99.76070588235295,100.3976689639449,99.99478876442348,100.0,100.0,100.0,97.39829610964674,100.0,99.96656982499107,100.33839723051858,97.95757106646208,100.0,100.0,99.8611111110945,100.6150491328678,100.0,99.58999670952119
2017-01-04 04:00:00,100.69229155709937,100.0,96.83103891292076,100.64585947067054,99.28269865230371,100.0,98.75513732026467,100.36112063505873,100.0,99.91250618115737,99.76070588235295,100.3976689639449,99.99478876442348,100.0,100.0,100.0,97.39829610964674,100.0,99.96656982499107,100.33839723051858,97.95757106646208,100.0,100.0,99.8611111110945,100.6150491328678,100.0,99.58999670952119
2017-01-04 08:00:00,100.69229155709937,100.0,96.83103891292076,100.64585947067054,99.28269865230371,100.0,98.75513732026467,100.36112063505873,100.0,99.91250618115737,99.76070588235295,100.3976689639449,99.99478876442348,100.0,100.0,100.0,97.39829610964674,100.0,99.96656982499107,100.33839723051858,97.95757106646208,100.0,100.0,99.8611111110945,100.6150491328678,100.0,99.58999670952119
2017-01-04 12:00:00,100.77105701393558,100.34308007796446,94.44693248793814,100.77790282882842,99.2607496626378,100.0,99.10777209311372,99.26558322139017,100.0,99.91143376233876,119.78678962597081,100.37123286268823,100.28957525477978,100.0,100.0,100.0,94.9735427997841,100.0,99.96024297158019,100.34659052571484,97.77324716748757,100.0,100.0,106.90677705624682,101.80702832531449,100.0,100.48725543728796
2017-01-04 16:00:00,100.6993982654102,100.71615665484747,94.33191398190394,100.66472280755022,99.25349807903137,100.0,98.61041777249096,99.24988667454474,99.88669270306363,99.73297921059243,120.68684271574382,100.54699655455364,100.31362262770914,100.0,100.68603363343718,100.0,94.64244263360317,100.0,99.64561690934765,100.34659052571484,94.08676918799755,100.0,100.0,105.6827198726145,101.80765159417214,100.0,100.31384830908083
2017-01-04 20:00:00,100.6993982654102,100.71615665484747,94.33191398190394,100.66472280755022,99.25349807903137,100.0,98.61041777249096,99.24988667454474,99.88669270306363,99.73297921059243,120.68684271574382,100.54699655455364,100.31362262770914,100.0,100.68603363343718,100.0,94.64244263360317,100.0,99.64561690934765,100.34659052571484,94.08676918799755,100.0,100.0,105.6827198726145,101.80765159417214,100.0,100.31384830908083
2017-01-05 00:00:00,100.6993982654102,100.71615665484747,94.33191398190394,100.66472280755022,99.25349807903137,100.0,98.61041777249096,99.24988667454474,99.88669270306363,99.73297921059243,120.68684271574382,100.54699655455364,100.31362262770914,100.0,100.68603363343718,100.0,94.64244263360317,100.0,99.64561690934765,100.34659052571484,94.08676918799755,100.0,100.0,105.6827198726145,101.80765159417214,100.0,100.31384830908083
2017-01-05 04:00:00,100.6993982654102,100.71615665484747,94.33191398190394,100.66472280755022,99.25349807903137,100.0,98.61041777249096,99.24988667454474,99.88669270306363,99.73297921059243,120.68684271574382,100.54699655455364,100.31362262770914,100.0,100.68603363343718,100.0,94.64244263360317,100.0,99.64561690934765,100.34659052571484,94.08676918799755,100.0,100.0,105.6827198726145,101.80765159417214,100.0,100.31384830908083
2017-01-05 08:00:00,100.6993982654102,100.71615665484747,94.33191398190394,100.66472280755022,99.25349807903137,100.0,98.61041777249096,99.24988667454474,99.88669270306363,99.73297921059243,120.68684271574382,100.54699655455364,100.31362262770914,100.0,100.68603363343718,100.0,94.64244263360317,100.0,99.64561690934765,100.34659052571484,94.08676918799755,100.0,100.0,105.6827198726145,101.80765159417214,100.0,100.31384830908083
2017-01-05 12:00:00,101.27694525946774,100.75840630111362,94.6346065303014,102.4893278191505,99.23867118040748,100.0,101.20429335963587,99.24712229420291,100.83851347011412,99.61541984680619,124.04397791510769,100.75589909948546,100.06081107874816,100.0,102.49851911169434,100.0,92.5821676586758,100.0,99.16307346686176,100.47301342034362,83.19336008127434,100.0,100.0,103.93551356883796,101.80079563673794,100.0,100.16844387425922
2017-01-05 16:00:00,101.2079844243564,100.76282141420779,94.29647127619974,102.48830723235365,99.3052588789535,100.0,101.15178830913082,99.24546936575109,101.54815837346001,99.77706397201226,126.56620595672177,100.54699655455364,100.27991442118096,100.0,102.53724743387934,100.0,92.4816882513984,100.0,98.93599419980954,100.72585920960118,83.62533714768618,100.0,100.0,103.35963213186942,101.97129707896646,100.0,100.28394612553328
2017-01-05 20:00:00,101.2079844243564,100.76282141420779,94.29647127619974,102.48830723235365,99.3052588789535,100.0,101.15178830913082,99.24546936575109,101.54815837346001,99.77706397201226,126.56620595672177,100.54699655455364,100.27991442118096,100.0,102.53724743387934,100.0,92.4816882513984,100.0,98.93599419980954,100.72585920960118,83.62533714768618,100.0,100.0,103.35963213186942,101.97129707896646,100.0,100.28394612553328
2017-01-06 00:00:00,101.2079844243564,100.76282141420779,94.29647127619974,102.48830723235365,99.3052588789535,100.0,101.15178830913082,99.24546936575109,101.54815837346001,99.77706397201226,126.56620595672177,100.54699655455364,100.27991442118096,100.0,102.53724743387934,100.0,92.4816882513984,100.0,98.93599419980954,100.72585920960118,83.62533714768618,100.0,100.0,103.35963213186942,101.97129707896646,100.0,100.28394612553328
2017-01-06 04:00:00,101.2079844243564,100.76282141420779,94.29647127619974,102.48830723235365,99.3052588789535,100.0,101.15178830913082,99.24546936575109,101.54815837346001,99.77706397201226,126.56620595672177,100.54699655455364,100.27991442118096,100.0,102.53724743387934,100.0,92.4816882513984,100.0,98.93599419980954,100.72585920960118,83.62533714768618,100.0,100.0,103.35963213186942,101.97129707896646,100.0,100.28394612553328
2017-01-06 08:00:00,101.2079844243564,100.76282141420779,94.29647127619974,102.48830723235365,99.3052588789535,100.0,101.15178830913082,99.24546936575109,101.54815837346001,99.77706397201226,126.56620595672177,100.54699655455364,100.27991442118096,100.0,102.53724743387934,100.0,92.4816882513984,100.0,98.93599419980954,100.72585920960118,83.62533714768618,100.0,100.0,103.35963213186942,101.97129707896646,100.0,100.28394612553328
2017-01-06 12:00:00,102.32368453541406,101.52381110630155,92.43872857912092,102.48554296029002,100.30344104823381,100.0,101.98424301902796,99.24053907916209,102.72344854687816,100.4677252342563,127.93237954846569,101.43759666531211,99.96811351079579,100.0,103.25852370625246,100.0,93.81810401326445,100.0,100.1281603518336,101.94493712209301,81.36716528924161,100.0,100.0,100.88541202337747,102.20951201010749,100.0,100.50039123004623
2017-01-06 16:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-06 20:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-07 00:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-07 04:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-07 08:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-07 12:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-07 16:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-07 20:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-08 00:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-08 04:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-08 08:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-08 12:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-08 16:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-08 20:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-09 00:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-09 04:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-09 08:00:00,102.32859799491571,101.52395366153117,91.45283418695921,102.6323942061848,100.55755089367338,100.0,101.13327696693548,99.13551174665363,102.8328832491773,100.2766912681037,127.92783384318687,101.08501659231277,99.99339466569188,100.0,101.9640682655416,100.0,92.80162309540194,100.0,99.03534137914491,101.8416048477418,81.20239245601422,100.0,100.0,101.1467651841574,101.78601879919012,100.0,100.27795603593428
2017-01-09 12:00:00,103.27628252157288,101.56512511890584,91.25622973856352,102.63141566667089,99.37257745792131,100.0,97.9505990416815,98.63108229306056,102.66288743586382,99.58603000585964,128.85179315903332,101.1488707441093,99.86698889121142,100.0,102.42106246732438,100.0,96.06407633223027,100.0,97.80147047889727,102.74202580688923,82.51621396525931,100.0,100.0,98.77888655806133,102.16141183235572,100.0,100.22515896720172
2017-01-09 16:00:00,103.2386653649151,101.52779488806422,90.76872022782256,102.63141566667089,100.1198277395259,100.0,98.21137914639354,97.65763094670652,102.72944635604051,99.01100314483415,127.85328607134147,100.78170937127919,99.74901016836296,100.0,101.87112029229763,100.0,96.3022264621774,100.0,98.04638268747829,102.83423324755731,83.51021396525931,100.0,100.0,100.9370082273121,102.18358289174614,100.0,100.25129848067532
2017-01-09 20:00:00,103.2386653649151,101.52779488806422,90.76872022782256,102.63141566667089,100.1198277395259,100.0,98.21137914639354,97.65763094670652,102.72944635604051,99.01100314483415,127.85328607134147,100.78170937127919,99.74901016836296,100.0,101.87112029229763,100.0,96.3022264621774,100.0,98.04638268747829,102.83423324755731,83.51021396525931,100.0,100.0,100.9370082273121,102.18358289174614,100.0,100.25129848067532
2017-01-10 00:00:00,103.2386653649151,101.52779488806422,90.76872022782256,102.63141566667089,100.1198277395259,100.0,98.21137914639354,97.65763094670652,102.72944635604051,99.01100314483415,127.85328607134147,100.78170937127919,99.74901016836296,100.0,101.87112029229763,100.0,96.3022264621774,100.0,98.04638268747829,102.83423324755731,83.51021396525931,100.0,100.0,100.9370082273121,102.18358289174614,100.0,100.25129848067532
2017-01-10 04:00:00,103.2386653649151,101.52779488806422,90.76872022782256,102.63141566667089,100.1198277395259,100.0,98.21137914639354,97.65763094670652,102.72944635604051,99.01100314483415,127.85328607134147,100.78170937127919,99.74901016836296,100.0,101.87112029229763,100.0,96.3022264621774,100.0,98.04638268747829,102.83423324755731,83.51021396525931,100.0,100.0,100.9370082273121,102.18358289174614,100.0,100.25129848067532
2017-01-10 08:00:00,103.2386653649151,101.52779488806422,90.76872022782256,102.63141566667089,100.1198277395259,100.0,98.21137914639354,97.65763094670652,102.72944635604051,99.01100314483415,127.85328607134147,100.78170937127919,99.74901016836296,100.0,101.87112029229763,100.0,96.3022264621774,100.0,98.04638268747829,102.83423324755731,83.51021396525931,100.0,100.0,100.9370082273121,102.18358289174614,100.0,100.25129848067532
2017-01-10 12:00:00,103.34091488108136,101.53689821932203,91.16258536260636,102.4557250169201,99.63532495621202,100.0,95.50710678713405,94.54928821822247,102.72916544436444,98.22867319738364,126.70664947127293,101.00519890256709,99.71530196183484,100.0,100.89516657323608,100.0,96.08658142973927,100.0,98.04790748037999,102.98541097065885,79.38435462793498,100.0,100.0,97.97458048165011,103.49350828638626,100.0,99.69267099618
2017-01-10 16:00:00,103.3323160458334,102.18107986829862,91.44263762007311,102.34121551025946,99.86170464724385,100.0,96.43306513246571,94.67066770103615,102.5689893842914,98.34436332524935,127.41168660255585,100.73381875743176,99.96811351079579,100.0,101.04233419753902,100.0,96.08550414226735,100.0,98.47970389325658,102.63042854024752,80.52620024612737,100.0,100.0,97.96569890296358,102.95101393103025,100.0,99.82844790733613
2017-01-10 20:00:00,103.3323160458334,102.18107986829862,91.44263762007311,102.34121551025946,99.86170464724385,100.0,96.43306513246571,94.67066770103615,102.5689893842914,98.34436332524935,127.41168660255585,100.73381875743176,99.96811351079579,100.0,101.04233419753902,100.0,96.08550414226735,100.0,98.47970389325658,102.63042854024752,80.52620024612737,100.0,100.0,97.96569890296358,102.95101393103025,100.0,99.82844790733613
2017-01-11 00:00:00,103.3323160458334,102.18107986829862,91.44263762007311,102.34121551025946,99.86170464724385,100.0,96.43306513246571,94.67066770103615,102.5689893842914,98.34436332524935,127.41168660255585,100.73381875743176,99.96811351079579,100.0,101.04233419753902,100.0,96.08550414226735,100.0,98.47970389325658,102.63042854024752,80.52620024612737,100.0,100.0,97.96569890296358,102.95101393103025,100.0,99.82844790733613
2017-01-11 04:00:00,103.3323160458334,102.18107986829862,91.44263762007311,102.34121551025946,99.86170464724385,100.0,96.43306513246571,94.67066770103615,102.5689893842914,98.34436332524935,127.41168660255585,100.73381875743176,99.96811351079579,100.0,101.04233419753902,100.0,96.08550414226735,100.0,98.47970389325658,102.63042854024752,80.52620024612737,100.0,100.0,97.96569890296358,102.95101393103025,100.0,99.82844790733613
2017-01-11 08:00:00,103.3323160458334,102.18107986829862,91.44263762007311,102.34121551025946,99.86170464724385,100.0,96.43306513246571,94.67066770103615,102.5689893842914,98.34436332524935,127.41168660255585,100.73381875743176,99.96811351079579,100.0,101.04233419753902,100.0,96.08550414226735,100.0,98.47970389325658,102.63042854024752,80.52620024612737,100.0,100.0,97.96569890296358,102.95101393103025,100.0,99.82844790733613
2017-01-11 12:00:00,103.20461057185389,102.5728853262271,91.44216564554311,101.77643486123064,99.6192903601641,100.0,96.83460567783213,94.50995550084096,103.04433507592775,98.34529239308432,127.09159702946508,101.48938552224351,100.31143159428477,100.0,101.35990643945586,100.0,96.07447962086398,100.0,98.63903215336194,102.22715741699413,71.57010796417842,100.0,100.0,97.54365674985945,101.86408160877582,100.0,99.46498135169077
2017-01-11 16:00:00,103.90335559861455,102.16874288256366,91.4426848175261,101.74959410103298,99.68069844115077,100.0,96.6787471443269,94.38808418313559,103.33003558900421,98.34455460392127,126.05361050023672,101.67904854678592,100.60856943483024,100.0,101.5225653926328,100.0,95.21900710650034,100.0,98.24438730017069,102.38846586629549,72.14245949614818,100.0,100.0,96.29695989079053,102.14074601149255,100.0,99.40582386688203
